Technique,Description
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 minutes on most days."
Resistance training,Train major muscle groups 2–3 times per week with progressive overload and enough recovery.
CBT Thought Record,"Use a structured worksheet to log a situation, the emotion it triggered, the automatic thought, the evidence for and against it, and a balanced alternative."
ABC Technique,"See how a Belief (B) — not the Activating event (A) itself — drives your emotional Consequence (C), then dispute that belief to change the reaction."
Cognitive restructuring,"Catch a distorted or exaggerated thought, weigh the actual evidence for and against it, and reframe it in more accurate, balanced terms."
Behavioral activation,"Schedule small rewarding or valued actions before motivation appears, then track mood afterward."
Graded exposure,"Build a fear hierarchy and repeatedly face feared situations without escaping or using safety behaviors, advancing as each becomes manageable."
ERP (exposure + prevention),"Trigger the obsession or fear while deliberately not doing the compulsion, reassurance, avoidance, or escape behavior."
Problem-solving therapy,"Define the problem, generate options, choose one, act, and review the result."
Worry time,Postpone worries to a scheduled 10–20 minute window and redirect attention when they arise outside it.
Progressive relaxation,Tense and release each major muscle group in sequence while noticing the contrast.
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders."
Sleep restriction,"Limit time in bed to actual sleep time, then gradually expand the window as sleep efficiency improves."
Implementation intentions,"Write a specific 'If situation X happens, then I will do behavior Y' plan."
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.
Self-monitoring,Record the target behavior or outcome daily so patterns become visible.
Feedback loops,"Review tracked data, identify the next bottleneck, and change one variable at a time."
Commitment device,"Lock in money, reputation, or access ahead of time so that not following through on the desired action carries a real cost."
Stable-cue habits,Repeat one small behavior after the same cue in the same context until it becomes automatic.
Habit stacking,Attach a new behavior immediately after an existing reliable routine.
Default design,Make the good option the default and add extra steps to the bad option.
Social support,"Draw on others for emotional, practical, and informational support — through close relationships or a group pursuing the same goal."
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience."
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces."
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy."
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.
Action planning,"Specify exactly when, where, how, and with what materials you will act."
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion."
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly."
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.
Values clarification,"Work out what you most deeply value in life, then use those values to decide which goals are worth setting and pursuing."
Cognitive defusion,"Step back and relate to thoughts as passing mental events rather than literal truths or commands — using techniques like labeling, repeating, or otherwise creating distance from them."
Gratitude journaling,Write three specific things you feel grateful for each day.
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened)."
Process visualization,"Before a specific task or performance, vividly rehearse yourself carrying out each step and technique well — the execution itself, not just the end result."
Assertiveness scripts,"Describe the facts, express your feeling, specify the request, and state the consequences — in calm, direct language."
Active listening,Reflect the other person's point and emotion before offering advice or disagreement.
Morning light,"Get bright light soon after waking — outdoors when possible, or from a light box — to anchor your circadian rhythm."
Daily review,"At day's end, note what happened, what worked, what failed, and tomorrow's priority."
Personal mission,"Draft a short statement of principles, roles, and long-term aims and revisit it regularly."
Life audit,"Rate major life domains, choose the lowest rated high-value domain, and set one action."
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time."
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm."
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target."
WOOP,"Name the Wish, Outcome, Obstacle, and Plan an if-then response to the obstacle."
Pomodoro Technique,"Work on one task for about 25 minutes, take a short break, and repeat."
Time blocking,"Reserve calendar blocks in advance for specific work you want to do during them, for time to rest, for time to exercise, etc."
