Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Gemini Judgment,Gemini Critique
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Primary,"Noetel et al., 2024, BMJ","Network MA, 218 RCTs / 14,170 participants; walking-jogging reduced depression vs active controls (g −0.62), effect grows with intensity.","Highest evidence form (network MA of RCTs) at the largest scale available, and the benefit holds against active controls — a clinically meaningful effect that clears the bar for the top tier.",https://doi.org/10.1136/bmj-2023-075847,https://consensus.app/papers/details/c8f3f89f5f6e52f5adc4758fd2c41b76/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Backup 1,"Leung et al., 2025, Br. J. Sports Medicine","SR/MA, 36 RCTs / 2,500 patients with chronic illness + comorbid depression; aerobic exercise g −0.73, with dose-response.","Independent replication in a harder-to-treat population with a moderate-large effect and a dose gradient — shows the benefit generalizes, which is what a Strong ranking requires.",https://doi.org/10.1136/bjsports-2025-110371,https://consensus.app/papers/details/2ff5a5e694eb58a0a919760a90154f08/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Backup 2,"Du et al., 2026, BMC Public Health","Bayesian dose-response MA, 12 RCTs / 723 adolescents; g −0.28, benefit peaking ~740 MET-min/week.",A third independent MA in a different age group confirms a significant effect and dose-response — cross-population consistency reinforces the robustness expected at the top tier.,https://doi.org/10.1186/s12889-026-26504-3,https://consensus.app/papers/details/0c615702599557e5a9086506750226c8/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Primary,"Goyal et al., 2014, JAMA Internal Medicine","SR/MA of 47 active-control RCTs / 3,515 participants; moderate evidence mindfulness meditation improves anxiety (0.38), depression (0.30), pain.","The most conservative possible test — only active-control RCTs, which strip out placebo/expectancy — still finds durable benefit. Surviving that bar is the strongest justification for a Strong ranking.",https://doi.org/10.1001/jamainternmed.2013.13018,https://consensus.app/papers/details/2f484c49928d5aa790d352a308c753cc/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Mostly agree,"The ranking is defensible, but the reasoning is a little too strong. Goyal et al. found small-to-moderate benefits against time/attention active controls, but also found no evidence that meditation beat specific active treatments such as exercise, drugs, or behavioral therapies; phrases like “most conservative possible test” and “durable benefit” should be softened.",Disagree (Flawed Reasoning/Citation),
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Backup 1,"Galante et al., 2023, Nature Mental Health","Individual-participant-data MA, 13 RCTs / 2,371 participants; distress SMD −0.32 at 1–6 months; confidence rated ""high.""","IPD meta-analysis is the gold-standard synthesis form, and the authors themselves grade confidence as high — top-tier methodological pedigree behind the ranking.",https://doi.org/10.1038/s44220-023-00081-5,https://consensus.app/papers/details/6f6e797974d25922a49c81a0b0f8bd72/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Mostly agree,"Strong synthesis method, but the comparison was passive/no-intervention control in non-clinical volunteers, not active control. It supports mindfulness versus doing nothing more than a specific effect beyond expectancy, time, or attention.",Disagree (Flawed Reasoning/Citation),
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.",Strong Evidence,Backup 2,"Galante et al., 2021, PLoS Medicine","SR/MA, 136 RCTs / 11,605 participants; vs no intervention depression SMD −0.53, anxiety −0.56.","Establishes breadth (136 RCTs) of benefit; the fact that effects shrink vs active controls is exactly why the ranking is Strong rather than over-stated, so it supports the placement honestly.",https://doi.org/10.1371/journal.pmed.1003481,https://consensus.app/papers/details/c141f0c70df85584b7e51269bec311b4/?utm_source=claude_code,https://consensus.app/search/new?q=meditation+programs+psychological+stress+wellbeing+active+control+randomized+clinical+trials+meta-analysis+Goyal&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Default design,Make the good option the default and add extra steps to the bad option.,Moderate-to-Strong,Primary,"Jachimowicz et al., 2019, Behavioural Public Policy","MA of 58 default studies / n=73,675 (on-target to defaults); d=0.68, with honest variability (a few null, two negative).",Construct-matched MA with a large average effect but real heterogeneity (some null/negative). That combination — strong but not universal — is precisely what a Moderate-to-Strong (not Strong) ranking should reflect.,https://doi.org/10.1017/bpp.2018.43,https://consensus.app/papers/details/3acd0367c8105d88858871badac1257d/?utm_source=claude_code,https://consensus.app/search/new?q=default+effect+choice+architecture+nudge+meta-analysis+behavioral+domains&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Default design,Make the good option the default and add extra steps to the bad option.,Moderate-to-Strong,Backup 1,"Mertens et al., 2021, PNAS","MA, 200+ studies / n≈2.1M; choice architecture d=0.43; decision-structure nudges (incl. defaults) strongest category.","Huge cross-domain MA confirms the broader family works and that defaults are its strongest sub-class — situating the technique among the better-evidenced behavioral tools, consistent with a high-but-not-top ranking.",https://doi.org/10.1073/pnas.2107346118,https://consensus.app/papers/details/a18522d5c07f581fabbe8a50e1e30897/?utm_source=claude_code,https://consensus.app/search/new?q=default+effect+choice+architecture+nudge+meta-analysis+behavioral+domains&utm_source=claude_code&mode=quick,Mostly agree,"Useful supporting evidence for choice architecture generally, but this is not defaults-specific evidence. Also, the PubMed/PNAS record reports publication in 2022, more than 450 effect sizes, n = 2,149,683, and d = 0.45, so the row’s 2021/d = 0.43 wording is slightly off.",Disagree (Flawed Reasoning/Citation),
Default design,Make the good option the default and add extra steps to the bad option.,Moderate-to-Strong,Backup 2,"Davidai et al., 2012, PNAS",Classic opt-in vs opt-out organ-donation studies showing how large a participation shift a default produces.,"Demonstrates mechanism and magnitude in a high-stakes real-world setting, evidencing external validity — corroborates that defaults reliably move behavior.",https://doi.org/10.1073/pnas.1211695109,https://consensus.app/papers/details/881470850f5d512fbc283fcbd160444c/?utm_source=claude_code,https://consensus.app/search/new?q=automatic+enrollment+default+option+retirement+savings+organ+donation+participation+effect&utm_source=claude_code&mode=quick,Critique,"This paper is mainly about the psychological meaning/mechanism of opt-in versus opt-out organ-donation defaults. It notes that defaults strongly affect participation, but its own studies do not directly estimate real-world participation shifts; the reasoning overstates it as direct high-stakes behavioral magnitude/external-validity evidence.",Disagree (Flawed Reasoning/Citation),"The reasoning incorrectly attributes the demonstration of real-world magnitude of default effects to Davidai et al., 2012. The classic paper demonstrating the massive participation shift in real-world organ donation is actually Johnson & Goldstein (2003) in Science. Davidai et al. (2012) explores the psychological *meaning* and construal behind these policies (e.g., why they work and how people perceive the sacrifice), rather than demonstrating the behavioral shift itself. While the paper is relevant to the topic of defaults, the summary and reasoning describe the findings of the wrong paper."
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Primary,"Lindsay et al., 2021, Physical Education & Sport Pedagogy","SR/MA, 36 studies / 1,449 participants; mental imagery improves performance g=0.476 (imagery+physical 0.579; imagery alone 0.298).","Construct-matched to process rehearsal (motor imagery, not outcome fantasy) with a moderate effect on real performance — direct, on-target support justifying a strong-but-not-top tier.",https://doi.org/10.1080/17408989.2021.1991297,https://consensus.app/papers/details/fc831c39fd3b517794d0c33db9a82c2b/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+mental+practice+rehearsal+motor+skill+performance+meta-analysis&utm_source=claude_code&mode=quick,Critique,"The paper is on sport-specific motor imagery, not the broader self-help technique of rehearsing steps, obstacles, and responses for general goals. It directly supports motor-skill mental practice, but only indirectly supports “process visualization”; the ranking is too broad for this evidence alone.",Disagree (Flawed Reasoning/Citation),
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Backup 1,"Toth et al., 2020, Psychology of Sport & Exercise",Methodological replication of Driskell (1994); 37 studies; small but robust positive effect (r=0.131) after publication-bias correction.,"A deliberately skeptical, bias-corrected replication still finds a reliable effect; the modest residual size is exactly why Moderate-to-Strong rather than Strong is the honest call.",https://doi.org/10.1016/j.psychsport.2020.101672,https://consensus.app/papers/details/45720edbab275a8c8f797458cba2ef55/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+mental+practice+rehearsal+motor+skill+performance+meta-analysis&utm_source=claude_code&mode=quick,Critique,"Good skeptical evidence that mental practice has a small residual performance effect, but it is still a mental-practice/performance literature, not a direct test of general goal-process visualization or obstacle-response planning. It supports a narrower claim than the technique description.",Disagree (Flawed Reasoning/Citation),
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Backup 2,"Simonsmeier et al., 2020, Int. Review of Sport & Exercise Psychology",MA of imagery interventions; medium effect d=0.431; imagery + physical practice beats physical alone.,Independent MA reaches a similar medium effect and shows imagery adds value over physical practice alone — convergent evidence across reviews supports the ranking.,https://doi.org/10.1080/1750984X.2020.1780627,https://consensus.app/papers/details/b652e3a02dd05018988848ffcc9c8bdb/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+practice+effectiveness+Driskell+mental+practice+performance+enhancement&utm_source=claude_code&mode=quick,Critique,"This is again sport/imagery intervention evidence. “Imagery plus physical practice beats physical practice alone” is relevant to athletic or motor rehearsal, but not enough to establish broad self-help process visualization as Moderate-to-Strong.",Disagree (Flawed Reasoning/Citation),
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Primary,"Elkjær et al., 2020, Perspectives on Psychological Science","MA, 73 studies; effects driven by avoiding contractive postures (g=0.45), while the expansive ""power pose"" vs neutral ≈ g=0.06 (null).","The largest MA shows the specific popular claim (adopt an expansive pose) is essentially null; any effect comes from not slumping. That downgrades it to a weak/uncertain signal — Questionable, but not Unsupported, since a postural effect of some kind is real.",https://doi.org/10.1177/1745691620919358,https://consensus.app/papers/details/826755941280535a891a383d2082b4b5/?utm_source=claude_code,https://consensus.app/search/new?q=expansive+contractive+postures+affective+behavioral+outcomes+systematic+review+meta-analysis+power+posing&utm_source=claude_code&mode=quick,Mostly agree,"The direction is right, but because the technique is specifically “stand or sit expansively,” the near-null expansive-versus-neutral result means the exact technique is closer to unsupported or very weak. The defensible advice is better framed as “avoid contractive/slumped posture,” not “power pose.”",Disagree (Flawed Reasoning/Citation),
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Backup 1,"Simmons & Simonsohn, 2017, Psychological Science",P-curve of the 33 studies cited as supportive; distribution indistinguishable from no effect + selective reporting.,"Shows the original ""it works"" literature has no evidential value once selective reporting is accounted for — direct grounds for demoting the claim to Questionable.",https://doi.org/10.1177/0956797616658563,https://consensus.app/papers/details/ebd67ed039ce5f28a8f5321262e210e2/?utm_source=claude_code,https://consensus.app/search/new?q=expansive+contractive+postures+affective+behavioral+outcomes+systematic+review+meta-analysis+power+posing&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Backup 2,"Ranehill et al., 2015, Psychological Science","Large (N=200), experimenter-blind replication: reproduced felt power but no effect on hormones or any behavioral task.","The decisive high-powered replication: the subjective ""feel powerful"" effect survives but every consequential outcome fails — capturing the ""weak signal, nothing actionable"" character of the Questionable tier.",https://doi.org/10.1177/0956797614553946,https://consensus.app/papers/details/d6dba120c11e5172b75d8313bbb1aac7/?utm_source=claude_code,https://consensus.app/search/new?q=power+posing+expansive+postures+effects+on+feelings+hormones+behavior+meta-analysis+replication&utm_source=claude_code&mode=quick,Agree,,Disagree (Flawed Reasoning/Citation),
Crystals for healing,Hold or display a crystal to balance energy or heal yourself.,Unsupported,Primary,"Escolà-Gascón et al., 2025, CNS Spectrums","RCT, 138 adults, rose quartz vs visually-matched fake crystal, 14-day protocol; no difference, Bayesian null; relief only among believers (expectancy). No second rigorous study exists — absence is the point.","A controlled head-to-head of real vs fake crystal finds zero specific effect, with Bayesian evidence for the null and benefit explained entirely by placebo/belief — the textbook pattern for Unsupported. The lack of any rigorous study showing a genuine effect reinforces the ranking.",https://doi.org/10.1017/S1092852925100515,https://consensus.app/papers/details/cff8da4fdf705a62a252d81d40883363/?utm_source=claude_code,https://consensus.app/search/new?q=crystal+healing+placebo+suggestion+controlled+experiment+paranormal&utm_source=claude_code&mode=quick,Mostly agree,"Unsupported is the right call for a specific crystal-healing effect, but “no second rigorous study exists” is broader than this paper itself establishes. The cited RCT is also limited to non-clinical anxiety/stress and placebo/expectancy effects, not all forms of “healing.”",Disagree (Flawed Reasoning/Citation),
