Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Primary,"Noetel et al., 2024, BMJ","Network MA, 218 RCTs / 14,170 participants; walking-jogging reduced depression vs active controls (g −0.62), effect grows with intensity.","Highest evidence form (network MA of RCTs) at the largest scale available, and the benefit holds against active controls — a clinically meaningful effect that clears the bar for the top tier.",https://doi.org/10.1136/bmj-2023-075847,https://consensus.app/papers/details/c8f3f89f5f6e52f5adc4758fd2c41b76/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Backup 1,"Leung et al., 2025, Br. J. Sports Medicine","SR/MA, 36 RCTs / 2,500 patients with chronic illness + comorbid depression; aerobic exercise g −0.73, with dose-response.","Independent replication in a harder-to-treat population with a moderate-large effect and a dose gradient — shows the benefit generalizes, which is what a Strong ranking requires.",https://doi.org/10.1136/bjsports-2025-110371,https://consensus.app/papers/details/2ff5a5e694eb58a0a919760a90154f08/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 min on most days.",Strong Evidence,Backup 2,"Du et al., 2026, BMC Public Health","Bayesian dose-response MA, 12 RCTs / 723 adolescents; g −0.28, benefit peaking ~740 MET-min/week.",A third independent MA in a different age group confirms a significant effect and dose-response — cross-population consistency reinforces the robustness expected at the top tier.,https://doi.org/10.1186/s12889-026-26504-3,https://consensus.app/papers/details/0c615702599557e5a9086506750226c8/?utm_source=claude_code,https://consensus.app/search/new?q=aerobic+exercise+depression+randomized+controlled+trials+systematic+review+meta-analysis+dose+response&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Resistance training,Train major muscle groups 2–3 times per week with progressive overload and enough recovery.,Strong Evidence,Primary,"Currier et al., 2023, British Journal of Sports Medicine","Bayesian network meta-analysis, 178 strength/119 hypertrophy RCTs (~5097); all resistance-training doses beat no-exercise (SMD up to 1.60 for strength).","Largest, most rigorous network meta-analysis of resistance training in healthy adults shows every prescription robustly increases strength and hypertrophy versus controls, directly supporting a Strong ranking.",https://doi.org/10.1136/bjsports-2023-106807,https://consensus.app/papers/details/d7159f4e02555ec4bfbe3a35124223f4/?utm_source=claude_code,https://consensus.app/search/new?q=resistance+training+strength+muscle+hypertrophy+progressive+overload+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Resistance training,Train major muscle groups 2–3 times per week with progressive overload and enough recovery.,Strong Evidence,Backup 1,"Lopez et al., 2020, Medicine & Science in Sports & Exercise","Network meta-analysis, 28 studies/747 adults; high/moderate loads beat low load for strength (SMD 0.34–0.63); hypertrophy load-independent.","Adds confirmation across training loads that resistance training reliably builds strength and muscle, with stronger strength gains under progressive higher loads.",https://doi.org/10.1249/MSS.0000000000002585,https://consensus.app/papers/details/83f3bcdaa4a959c3ba2c048afab2b355/?utm_source=claude_code,https://consensus.app/search/new?q=resistance+training+strength+muscle+hypertrophy+progressive+overload+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
CBT Thought Record,"Write the situation, emotion, automatic thought, evidence for and against it, a balanced thought, and the next action.",Strong Evidence,Primary,"Cuijpers et al., 2023, World Psychiatry","Meta-analysis, 409 RCTs/52,702 patients; CBT moderate-to-large effect vs control (g=0.79), sustained at 6–12 mo follow-up.","The largest-ever meta-analysis of CBT for depression shows robust efficacy of the cognitive-behavioral package the thought record operationalizes; construct is the broader CBT protocol, not the worksheet alone.",https://doi.org/10.1002/wps.21069,https://consensus.app/papers/details/50ac6e5cfe1050a48a3e7d1e4b252df7/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+behavioral+therapy+depression+efficacy+meta-analysis+randomized+controlled+trials&utm_source=claude_code&mode=quick,Mostly agree,"Good broad support for CBT, but not a direct test of the thought-record worksheet itself. It should be framed as evidence for the CBT package that contains thought records, not evidence that the worksheet alone has a large standalone effect.",Agree,"I agree this is the broader CBT package, not the worksheet alone, and my original_reasoning already said so. It doesn't change the tier, since the package the thought record operationalizes is robustly supported."
CBT Thought Record,"Write the situation, emotion, automatic thought, evidence for and against it, a balanced thought, and the next action.",Strong Evidence,Backup 1,"Ciharova et al., 2021, Journal of Consulting and Clinical Psychology","Network meta-analysis, 45 RCTs/3382 patients; cognitive restructuring superior to care-as-usual (SMD 0.57) and waitlist (1.20) for depression.","Isolates cognitive restructuring—the core of the thought record—and shows it is effective on its own, a closer construct match than the full CBT package.",https://doi.org/10.1037/ccp0000654,https://consensus.app/papers/details/4a1c6390aa125890be927c44ecc4e0a0/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+restructuring+anxiety+depression+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
ABC Technique,"Record the Activating event, Belief, and Consequence, then dispute the belief and choose a more useful response.",Strong Evidence,Primary,"David et al., 2017, Journal of Clinical Psychology","Systematic review/meta-analysis, 84 studies; REBT showed medium effects vs other interventions on outcomes (d=0.58) and on irrational beliefs (d=0.70).",The ABC model is the defining technique of REBT; this is the most comprehensive meta-analysis of REBT and confirms it reduces irrational beliefs and improves outcomes.,https://doi.org/10.1002/jclp.22514,https://consensus.app/papers/details/bac579a79fa65bf7a62c744914d1e160/?utm_source=claude_code,https://consensus.app/search/new?q=rational+emotive+behavior+therapy+REBT+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The REBT meta-analysis supports the broader REBT package, not the ABC worksheet or disputation sequence in isolation. Strong evidence is defensible if the technique is treated as REBT-style cognitive disputation, but the construct match is not exact.",Agree,"ChatGPT is right that this supports REBT broadly rather than the ABC worksheet in isolation, which I flagged. The d=0.70 reduction in irrational beliefs still ties closely to the ABC construct, so Strong holds."
ABC Technique,"Record the Activating event, Belief, and Consequence, then dispute the belief and choose a more useful response.",Strong Evidence,Backup 1,"Gonzalez et al., 2004, Journal of Emotional and Behavioral Disorders","Meta-analysis, 19 studies; REBT showed a positive, significant overall effect in children/adolescents, largest on disruptive behaviors.","Extends REBT/ABC efficacy evidence to youth across multiple outcome domains, broadening support for the technique's Strong ranking.",,https://consensus.app/papers/details/43d2d8ea8783542eb94dadb0f9ab53ca/?utm_source=claude_code,https://consensus.app/search/new?q=rational+emotive+behavior+therapy+REBT+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Useful supporting evidence for REBT in youth, but it is older, has no DOI in the table, and supports a full therapeutic approach rather than the ABC self-help worksheet alone.",Partially agree,"The 'older, full-approach, no DOI' points are fair, but this row's job is to extend REBT evidence to youth as a backup; the Primary carries the construct match, so it doesn't weaken the row."
Cognitive restructuring,"Identify a distorted thought, test it against evidence, and replace it with a more accurate belief.",Strong Evidence,Primary,"Ciharova et al., 2021, Journal of Consulting and Clinical Psychology","Network meta-analysis, 45 RCTs/3382 patients; cognitive restructuring beat care-as-usual (SMD 0.57) and waitlist (1.20), equal to BA and full CBT.","Directly isolates cognitive restructuring as a standalone component and shows it is effective for adult depression, an exact construct match for a Strong ranking.",https://doi.org/10.1037/ccp0000654,https://consensus.app/papers/details/4a1c6390aa125890be927c44ecc4e0a0/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+restructuring+anxiety+depression+efficacy+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
